Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,44,9,Some Random Commen with Id 0
1,0,0,166,9,Some Random Commen with Id 1
2,0,0,12,4,Some Random Commen with Id 2
3,0,0,153,5,Some Random Commen with Id 3
4,0,0,31,9,Some Random Commen with Id 4
5,1,6,96,5,Some Random Commen with Id 5
6,1,6,158,8,Some Random Commen with Id 6
7,1,6,94,5,Some Random Commen with Id 7
8,1,6,63,8,Some Random Commen with Id 8
9,2,1,37,8,Some Random Commen with Id 9
10,2,1,196,7,Some Random Commen with Id 10
11,2,1,148,6,Some Random Commen with Id 11
12,2,1,42,6,Some Random Commen with Id 12
13,2,1,8,5,Some Random Commen with Id 13
14,3,0,168,8,Some Random Commen with Id 14
15,4,8,135,9,Some Random Commen with Id 15
16,4,8,106,8,Some Random Commen with Id 16
17,4,8,130,4,Some Random Commen with Id 17
18,5,0,72,8,Some Random Commen with Id 18
19,5,0,181,7,Some Random Commen with Id 19
20,5,0,115,3,Some Random Commen with Id 20
21,5,0,145,1,Some Random Commen with Id 21
22,5,0,45,2,Some Random Commen with Id 22
23,5,0,195,1,Some Random Commen with Id 23
24,6,7,119,3,Some Random Commen with Id 24
25,6,7,169,6,Some Random Commen with Id 25
26,6,7,76,0,Some Random Commen with Id 26
27,7,4,69,4,Some Random Commen with Id 27
28,8,8,14,0,Some Random Commen with Id 28
29,9,9,36,3,Some Random Commen with Id 29
30,9,9,40,0,Some Random Commen with Id 30
31,10,3,85,7,Some Random Commen with Id 31
32,10,3,127,0,Some Random Commen with Id 32
33,10,3,196,8,Some Random Commen with Id 33
34,10,3,76,2,Some Random Commen with Id 34
35,10,3,102,7,Some Random Commen with Id 35
36,10,3,43,1,Some Random Commen with Id 36
37,10,3,74,9,Some Random Commen with Id 37
38,10,3,66,1,Some Random Commen with Id 38
39,11,0,191,9,Some Random Commen with Id 39
40,11,0,55,0,Some Random Commen with Id 40
41,11,0,150,7,Some Random Commen with Id 41
42,11,0,189,8,Some Random Commen with Id 42
43,11,0,133,6,Some Random Commen with Id 43
44,11,0,138,6,Some Random Commen with Id 44
45,11,0,91,0,Some Random Commen with Id 45
46,11,0,105,8,Some Random Commen with Id 46
47,11,0,175,3,Some Random Commen with Id 47
48,12,4,124,5,Some Random Commen with Id 48
49,12,4,91,5,Some Random Commen with Id 49
50,12,4,66,9,Some Random Commen with Id 50
51,12,4,30,1,Some Random Commen with Id 51
52,12,4,136,9,Some Random Commen with Id 52
53,13,1,165,2,Some Random Commen with Id 53
54,13,1,152,5,Some Random Commen with Id 54
55,13,1,135,4,Some Random Commen with Id 55
56,13,1,165,5,Some Random Commen with Id 56
57,13,1,186,0,Some Random Commen with Id 57
58,13,1,66,1,Some Random Commen with Id 58
59,14,2,92,5,Some Random Commen with Id 59
60,14,2,108,0,Some Random Commen with Id 60
61,15,0,126,3,Some Random Commen with Id 61
62,15,0,39,5,Some Random Commen with Id 62
63,15,0,23,3,Some Random Commen with Id 63
64,15,0,155,7,Some Random Commen with Id 64
65,15,0,153,7,Some Random Commen with Id 65
66,15,0,43,2,Some Random Commen with Id 66
67,15,0,115,2,Some Random Commen with Id 67
68,17,7,118,3,Some Random Commen with Id 68
69,17,7,73,4,Some Random Commen with Id 69
70,17,7,181,6,Some Random Commen with Id 70
71,17,7,150,3,Some Random Commen with Id 71
72,17,7,17,9,Some Random Commen with Id 72
73,17,7,35,9,Some Random Commen with Id 73
74,17,7,156,3,Some Random Commen with Id 74
75,17,7,78,1,Some Random Commen with Id 75
76,17,7,79,0,Some Random Commen with Id 76
77,18,6,100,2,Some Random Commen with Id 77
78,19,0,19,5,Some Random Commen with Id 78
79,20,1,33,2,Some Random Commen with Id 79
80,20,1,168,6,Some Random Commen with Id 80
81,20,1,165,2,Some Random Commen with Id 81
82,21,2,181,6,Some Random Commen with Id 82
83,22,8,45,0,Some Random Commen with Id 83
84,22,8,144,6,Some Random Commen with Id 84
85,22,8,15,4,Some Random Commen with Id 85
86,22,8,65,0,Some Random Commen with Id 86
87,22,8,102,0,Some Random Commen with Id 87
88,22,8,119,6,Some Random Commen with Id 88
89,22,8,148,6,Some Random Commen with Id 89
90,23,5,180,7,Some Random Commen with Id 90
91,23,5,54,1,Some Random Commen with Id 91
92,23,5,114,1,Some Random Commen with Id 92
93,24,5,134,0,Some Random Commen with Id 93
94,24,5,80,7,Some Random Commen with Id 94
95,24,5,183,8,Some Random Commen with Id 95
96,24,5,167,1,Some Random Commen with Id 96
97,24,5,92,9,Some Random Commen with Id 97
98,24,5,167,3,Some Random Commen with Id 98
99,24,5,102,6,Some Random Commen with Id 99
100,25,2,9,2,Some Random Commen with Id 100
101,25,2,9,0,Some Random Commen with Id 101
102,25,2,17,8,Some Random Commen with Id 102
103,25,2,104,4,Some Random Commen with Id 103
104,25,2,65,9,Some Random Commen with Id 104
105,25,2,19,7,Some Random Commen with Id 105
106,26,3,19,6,Some Random Commen with Id 106
107,26,3,68,0,Some Random Commen with Id 107
108,26,3,153,2,Some Random Commen with Id 108
109,26,3,175,7,Some Random Commen with Id 109
110,28,1,28,9,Some Random Commen with Id 110
111,29,9,125,3,Some Random Commen with Id 111
112,29,9,147,6,Some Random Commen with Id 112
113,29,9,185,7,Some Random Commen with Id 113
114,30,8,23,3,Some Random Commen with Id 114
115,30,8,95,9,Some Random Commen with Id 115
116,30,8,8,9,Some Random Commen with Id 116
117,30,8,22,9,Some Random Commen with Id 117
118,30,8,49,6,Some Random Commen with Id 118
119,30,8,11,4,Some Random Commen with Id 119
120,30,8,154,0,Some Random Commen with Id 120
121,31,8,36,3,Some Random Commen with Id 121
122,33,8,75,4,Some Random Commen with Id 122
123,33,8,102,4,Some Random Commen with Id 123
124,33,8,129,3,Some Random Commen with Id 124
125,33,8,53,0,Some Random Commen with Id 125
126,33,8,15,6,Some Random Commen with Id 126
127,33,8,148,1,Some Random Commen with Id 127
128,33,8,138,3,Some Random Commen with Id 128
129,34,7,121,2,Some Random Commen with Id 129
130,34,7,103,1,Some Random Commen with Id 130
131,34,7,49,0,Some Random Commen with Id 131
132,34,7,41,8,Some Random Commen with Id 132
133,34,7,90,9,Some Random Commen with Id 133
134,34,7,191,8,Some Random Commen with Id 134
135,34,7,175,6,Some Random Commen with Id 135
136,34,7,94,4,Some Random Commen with Id 136
137,34,7,35,1,Some Random Commen with Id 137
138,36,6,23,5,Some Random Commen with Id 138
139,36,6,24,4,Some Random Commen with Id 139
140,36,6,157,5,Some Random Commen with Id 140
141,36,6,20,7,Some Random Commen with Id 141
142,36,6,18,6,Some Random Commen with Id 142
143,36,6,197,2,Some Random Commen with Id 143
144,37,9,39,8,Some Random Commen with Id 144
145,37,9,120,6,Some Random Commen with Id 145
146,37,9,4,8,Some Random Commen with Id 146
147,37,9,191,8,Some Random Commen with Id 147
148,37,9,175,3,Some Random Commen with Id 148
149,37,9,44,2,Some Random Commen with Id 149
150,37,9,61,9,Some Random Commen with Id 150
151,38,0,79,8,Some Random Commen with Id 151
152,38,0,76,2,Some Random Commen with Id 152
153,38,0,52,7,Some Random Commen with Id 153
154,38,0,189,3,Some Random Commen with Id 154
155,38,0,28,3,Some Random Commen with Id 155
156,38,0,158,1,Some Random Commen with Id 156
157,39,3,67,3,Some Random Commen with Id 157
158,39,3,195,4,Some Random Commen with Id 158
159,39,3,172,6,Some Random Commen with Id 159
160,39,3,37,5,Some Random Commen with Id 160
161,39,3,48,9,Some Random Commen with Id 161
162,39,3,127,1,Some Random Commen with Id 162
163,39,3,184,3,Some Random Commen with Id 163
164,39,3,135,1,Some Random Commen with Id 164
165,39,3,104,7,Some Random Commen with Id 165
